Date(UTC),UnixTimeStamp,Value,Value (Wei),DateTime,Average Txn Fee (USD),Average Txn Fee Per(MATIC),GasPriceValue (USD),AvgTotalAmountGasFee
2023-05-01,1682899200,2171887,348578086950.0,2023-05-01 00:00:00Z,0.02,0,19.90222591323295,19.92222591323295
2023-05-02,1682985600,2223702,308352706104.0,2023-05-02 00:00:00Z,0.02,0,17.605539325593952,17.62553932559395
2023-05-03,1683072000,2190777,331504494242.0,2023-05-03 00:00:00Z,0.02,0,18.927401298758884,18.947401298758884
2023-05-04,1683158400,2013939,304353950581.0,2023-05-04 00:00:00Z,0.02,0,17.37722854310363,17.39722854310363
2023-05-05,1683244800,2065108,349870086367.0,2023-05-05 00:00:00Z,0.02,0,19.975993213128046,19.995993213128045
2023-05-06,1683331200,1975510,289736455291.0,2023-05-06 00:00:00Z,0.02,0,16.542635938351264,16.562635938351264
2023-05-07,1683417600,1928215,243250013129.0,2023-05-07 00:00:00Z,0.02,0,13.888471180303032,13.908471180303032
2023-05-08,1683504000,2240383,308193803003.0,2023-05-08 00:00:00Z,0.02,0,17.596466680086927,17.616466680086926
2023-05-09,1683590400,2206736,232602877391.0,2023-05-09 00:00:00Z,0.01,0,13.280568077039609,13.290568077039609
2023-05-10,1683676800,2416859,333950766122.0,2023-05-10 00:00:00Z,0.02,0,19.067072314877382,19.087072314877382
2023-05-11,1683763200,2340643,267290080768.0,2023-05-11 00:00:00Z,0.02,0,15.26104987940355,15.28104987940355
2023-05-12,1683849600,2327844,280331781081.0,2023-05-12 00:00:00Z,0.02,0,16.005671746466692,16.025671746466692
2023-05-13,1683936000,2094856,204838071697.0,2023-05-13 00:00:00Z,0.01,0,11.695323748590855,11.705323748590855
2023-05-14,1684022400,2072054,200016962822.0,2023-05-14 00:00:00Z,0.01,0,11.420060323910045,11.430060323910045
2023-05-15,1684108800,2367965,227874068474.0,2023-05-15 00:00:00Z,0.01,0,13.010574560837474,13.020574560837474
2023-05-16,1684195200,2430117,213630618256.0,2023-05-16 00:00:00Z,0.01,0,12.197338231202142,12.207338231202142
2023-05-17,1684281600,2390016,209940439339.0,2023-05-17 00:00:00Z,0.01,0,11.986645771704774,11.996645771704774
2023-05-18,1684368000,2501332,202911102869.0,2023-05-18 00:00:00Z,0.01,0,11.585302578648193,11.595302578648193
2023-05-19,1684454400,2420988,211525094455.0,2023-05-19 00:00:00Z,0.01,0,12.077122383098065,12.087122383098064
2023-05-20,1684540800,2344002,177126134490.0,2023-05-20 00:00:00Z,0.01,0,10.11309797068029,10.12309797068029
2023-05-21,1684627200,2239054,182992909258.0,2023-05-21 00:00:00Z,0.01,0,10.448064169607015,10.458064169607015
2023-05-22,1684713600,2365875,212108512899.0,2023-05-22 00:00:00Z,0.01,0,12.110432927016738,12.120432927016738
2023-05-23,1684800000,2502660,199011134006.0,2023-05-23 00:00:00Z,0.01,0,11.362632065865403,11.372632065865403
2023-05-24,1684886400,2561112,229014868094.0,2023-05-24 00:00:00Z,0.01,0,13.075709038904154,13.085709038904154
2023-05-25,1684972800,2519494,212081475592.0,2023-05-25 00:00:00Z,0.01,0,12.108889219560233,12.118889219560232
2023-05-26,1685059200,2670354,255095145534.0,2023-05-26 00:00:00Z,0.01,0,14.564774453291852,14.574774453291852
2023-05-27,1685145600,2377223,187167720805.0,2023-05-27 00:00:00Z,0.01,0,10.686426951618282,10.696426951618282
2023-05-28,1685232000,2245458,204561936455.0,2023-05-28 00:00:00Z,0.01,0,11.679557680169928,11.689557680169928
2023-05-29,1685318400,2582047,220252069168.0,2023-05-29 00:00:00Z,0.01,0,12.575393011056704,12.585393011056704
2023-05-30,1685404800,2633491,233485025003.0,2023-05-30 00:00:00Z,0.01,0,13.33093469995748,13.34093469995748
2023-05-31,1685491200,2605188,214804535274.0,2023-05-31 00:00:00Z,0.01,0,12.26436356231246,12.274363562312459
2023-06-01,1685577600,2495956,211499407372.0,2023-06-01 00:00:00Z,0.01,0,12.075655767300754,12.085655767300754
2023-06-02,1685664000,2335971,221920011917.0,2023-06-02 00:00:00Z,0.01,0,12.670624968095067,12.680624968095067
2023-06-03,1685750400,2148804,196005183264.0,2023-06-03 00:00:00Z,0.01,0,11.191005928161815,11.201005928161814
2023-06-04,1685836800,2198806,191878132804.0,2023-06-04 00:00:00Z,0.01,0,10.955370087340834,10.965370087340833
2023-06-05,1685923200,2459581,275150844755.0,2023-06-05 00:00:00Z,0.01,0,15.709863808267416,15.719863808267416
2023-06-06,1686009600,2479464,249699411174.0,2023-06-06 00:00:00Z,0.01,0,14.256702522723488,14.266702522723488
2023-06-07,1686096000,2410883,238638726113.0,2023-06-07 00:00:00Z,0.01,0,13.625187630995029,13.635187630995029
2023-06-08,1686182400,2324499,209991785333.0,2023-06-08 00:00:00Z,0.01,0,11.989577394806124,11.999577394806124
2023-06-09,1686268800,2466397,232005756771.0,2023-06-09 00:00:00Z,0.01,0,13.246475201091288,13.256475201091288
2023-06-10,1686355200,2737734,652620740853.0,2023-06-10 00:00:00Z,0.03,0,37.26168082958395,37.29168082958395
2023-06-11,1686441600,2209207,243347828704.0,2023-06-11 00:00:00Z,0.01,0,13.894056005466647,13.904056005466646
2023-06-12,1686528000,2424918,282226660278.0,2023-06-12 00:00:00Z,0.01,0,16.11386074419445,16.123860744194452
2023-06-13,1686614400,2481777,292979562667.0,2023-06-13 00:00:00Z,0.01,0,16.727802642956195,16.737802642956197
2023-06-14,1686700800,2630588,387038949008.0,2023-06-14 00:00:00Z,0.01,0,22.098166490546987,22.10816649054699
2023-06-15,1686787200,2612653,339155995606.0,2023-06-15 00:00:00Z,0.01,0,19.364267282086114,19.374267282086116
2023-06-16,1686873600,2395267,274046601674.0,2023-06-16 00:00:00Z,0.01,0,15.646816542578742,15.656816542578742
2023-06-17,1686960000,2157543,267181089334.0,2023-06-17 00:00:00Z,0.01,0,15.254826963439282,15.264826963439281
2023-06-18,1687046400,2023027,233509926373.0,2023-06-18 00:00:00Z,0.01,0,13.332356455110322,13.342356455110322
